City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Adrar,MR,2020-02-20 21:34:29,20.5,-10.07,75.96,10,0,11.21
1,Tuatapere,NZ,2020-02-20 21:34:29,-46.13,167.68,61.77,94,76,2.28
2,Dingle,PH,2020-02-20 21:34:29,11.0,122.67,71.35,93,69,13.8
3,Ribeira Grande,PT,2020-02-20 21:34:30,38.52,-28.7,57.2,62,40,6.93
4,Nautla,MX,2020-02-20 21:34:30,20.22,-96.78,79.81,69,27,6.24
5,Nikolskoye,RU,2020-02-20 21:34:30,59.7,30.79,33.01,95,75,4.47
6,Bathsheba,BB,2020-02-20 21:34:30,13.22,-59.52,80.6,61,20,19.46
7,Namatanai,PG,2020-02-20 21:34:30,-3.67,152.43,82.36,77,45,14.7
8,Ushuaia,AR,2020-02-20 21:31:14,-54.8,-68.3,53.6,62,90,14.99
9,Vaini,TO,2020-02-20 21:34:31,-21.2,-175.2,80.6,69,20,5.82
10,Tete,MZ,2020-02-20 21:34:31,-16.16,33.59,78.8,94,20,2.24
11,Atasu,KZ,2020-02-20 21:34:31,48.68,71.64,21.42,76,100,7.96
12,Mataura,NZ,2020-02-20 21:34:32,-46.19,168.86,66.38,74,87,3.87
13,Umm Kaddadah,SD,2020-02-20 21:34:32,13.6,26.69,67.55,22,90,13.33
14,Cape Town,ZA,2020-02-20 21:31:52,-33.93,18.42,68.0,77,0,17.22
15,Ostrovnoy,RU,2020-02-20 21:34:32,68.05,39.51,11.73,79,94,19.82
16,Yellowknife,CA,2020-02-20 21:34:30,62.46,-114.35,33.01,79,20,11.41
17,Suntar,RU,2020-02-20 21:34:33,62.14,117.63,12.07,96,100,4.41
18,Bambanglipuro,ID,2020-02-20 21:34:33,-7.95,110.28,74.71,91,100,2.24
19,Albany,US,2020-02-20 21:34:33,42.6,-73.97,28.0,42,40,18.34
20,Muzhi,RU,2020-02-20 21:34:34,65.37,64.67,25.36,81,89,11.48
21,Punta Arenas,CL,2020-02-20 21:29:54,-53.15,-70.92,59.0,51,19,12.75
22,Rikitea,PF,2020-02-20 21:34:34,-23.12,-134.97,78.85,75,40,9.98
23,Atuona,PF,2020-02-20 21:31:24,-9.8,-139.03,81.59,75,21,18.77
24,Port Alfred,ZA,2020-02-20 21:31:26,-33.59,26.89,69.01,91,77,1.99
25,Longyearbyen,SJ,2020-02-20 21:34:35,78.22,15.64,6.8,60,40,14.99
26,Ashti,IN,2020-02-20 21:34:35,19.38,76.23,72.64,41,0,4.09
27,Kapaa,US,2020-02-20 21:34:35,22.08,-159.32,78.8,69,90,19.46
28,Waipawa,NZ,2020-02-20 21:34:36,-41.41,175.52,71.01,88,100,24.16
29,Avarua,CK,2020-02-20 21:33:19,-21.21,-159.78,80.6,88,100,6.93
30,Saint-Philippe,RE,2020-02-20 21:34:36,-21.36,55.77,77.0,73,75,8.05
31,Naze,JP,2020-02-20 21:34:37,28.37,129.48,60.8,67,20,8.05
32,New Norfolk,AU,2020-02-20 21:34:37,-42.78,147.06,54.0,46,40,13.87
33,Jesi,IT,2020-02-20 21:34:37,43.53,13.24,44.01,69,0,2.24
34,Chuy,UY,2020-02-20 21:34:37,-33.7,-53.46,68.29,47,6,16.96
35,Kaohsiung,TW,2020-02-20 21:31:07,22.62,120.31,64.0,88,20,3.36
36,Pevek,RU,2020-02-20 21:34:38,69.7,170.31,-8.75,99,100,6.67
37,Bukachacha,RU,2020-02-20 21:34:38,52.98,116.92,3.0,85,100,2.37
38,Bend,US,2020-02-20 21:31:29,44.06,-121.32,51.01,23,1,8.05
39,Del Rio,US,2020-02-20 21:34:39,29.36,-100.9,53.6,58,90,10.29
40,Lujan,AR,2020-02-20 21:34:39,-34.57,-59.1,72.0,40,20,12.75
41,Rio Gallegos,AR,2020-02-20 21:34:39,-51.62,-69.22,68.0,28,32,9.17
42,Lyuban,BY,2020-02-20 21:34:39,52.8,28.0,36.68,91,100,3.96
43,Bethel,US,2020-02-20 21:33:38,41.37,-73.41,37.0,29,20,8.05
44,Bluff,NZ,2020-02-20 21:34:40,-46.6,168.33,66.81,61,43,7.92
45,Castro,BR,2020-02-20 21:34:40,-24.79,-50.01,78.89,57,100,2.8
46,Hermanus,ZA,2020-02-20 21:31:24,-34.42,19.23,64.99,93,0,13.94
47,Souillac,MU,2020-02-20 21:34:41,-20.52,57.52,78.8,69,40,10.29
48,Weyburn,CA,2020-02-20 21:34:41,49.67,-103.85,28.99,68,0,11.01
49,Nezlobnaya,RU,2020-02-20 21:34:42,44.12,43.4,39.2,93,90,13.42
50,Nanakuli,US,2020-02-20 21:34:42,21.39,-158.15,80.6,73,75,10.29
51,Tuktoyaktuk,CA,2020-02-20 21:34:42,69.45,-133.04,-0.4,77,90,10.29
52,Ancud,CL,2020-02-20 21:34:42,-41.87,-73.82,69.8,37,0,10.29
53,Salekhard,RU,2020-02-20 21:34:43,66.53,66.6,22.15,95,100,6.67
54,Maniitsoq,GL,2020-02-20 21:34:43,65.42,-52.9,12.61,46,54,0.22
55,Busselton,AU,2020-02-20 21:34:43,-33.65,115.33,69.01,34,70,15.84
56,Hobart,AU,2020-02-20 21:33:13,-42.88,147.33,54.0,46,40,13.87
57,Srednekolymsk,RU,2020-02-20 21:34:44,67.45,153.68,-16.44,93,100,5.03
58,Bara,NG,2020-02-20 21:34:45,10.37,10.73,77.11,21,0,8.1
59,Dakar,SN,2020-02-20 21:34:46,14.69,-17.44,73.4,78,40,16.11
60,Cabo San Lucas,MX,2020-02-20 21:32:59,22.89,-109.91,84.0,44,5,10.29
61,Lufilufi,WS,2020-02-20 21:34:46,-13.87,-171.6,78.01,94,100,10.0
62,San Patricio,MX,2020-02-20 21:34:46,19.22,-104.7,84.2,74,20,11.41
63,Bethanien,NA,2020-02-20 21:34:46,-26.5,17.16,79.9,40,42,11.27
64,Bosaso,SO,2020-02-20 21:34:47,11.28,49.18,76.32,80,89,5.77
65,Qaanaaq,GL,2020-02-20 21:34:47,77.48,-69.36,-14.3,59,0,5.59
66,Nata,PA,2020-02-20 21:34:47,8.33,-80.52,91.4,46,40,16.11
67,Hasaki,JP,2020-02-20 21:34:47,35.73,140.83,42.8,81,75,6.93
68,Tecoanapa,MX,2020-02-20 21:34:48,16.52,-98.75,96.51,20,1,11.07
69,Palmer,US,2020-02-20 21:31:50,42.16,-72.33,33.8,36,75,12.75
70,Narsaq,GL,2020-02-20 21:34:48,60.92,-46.05,30.2,28,100,17.22
71,Neiafu,TO,2020-02-20 21:32:32,-18.65,-173.98,82.4,74,20,11.41
72,Cherskiy,RU,2020-02-20 21:34:49,68.75,161.3,-16.73,97,100,7.09
73,Arraial Do Cabo,BR,2020-02-20 21:34:49,-22.97,-42.03,82.4,74,0,13.87
74,Oktyabrskoye,RU,2020-02-20 21:34:49,43.06,44.74,33.03,85,100,0.98
75,Kazanskaya,RU,2020-02-20 21:34:49,45.41,40.44,43.36,81,99,10.36
76,Caravelas,BR,2020-02-20 21:34:49,-17.71,-39.25,81.34,79,17,14.9
77,Tiznit,MA,2020-02-20 21:34:50,29.58,-9.5,62.37,26,0,5.41
78,Coshocton,US,2020-02-20 21:34:50,40.27,-81.86,32.0,46,90,8.05
79,Bac Lieu,VN,2020-02-20 21:34:50,9.29,105.72,74.25,73,3,10.11
80,Maragogi,BR,2020-02-20 21:34:50,-9.01,-35.22,80.33,85,100,21.85
81,Carauari,BR,2020-02-20 21:34:50,-4.88,-66.9,87.06,68,98,2.89
82,Buala,SB,2020-02-20 21:34:51,-8.14,159.59,81.09,80,100,8.52
83,Chalchihuites,MX,2020-02-20 21:34:51,23.48,-103.88,74.25,11,2,3.78
84,Kenai,US,2020-02-20 21:34:51,60.55,-151.26,36.0,86,90,20.8
85,Faya,SA,2020-02-20 21:34:52,18.39,42.45,60.8,82,100,4.7
86,Kodiak,US,2020-02-20 21:33:06,57.79,-152.41,37.4,86,90,4.7
87,Hilo,US,2020-02-20 21:34:52,19.73,-155.09,78.8,54,75,5.82
88,San Cristobal,VE,2020-02-20 21:34:52,7.77,-72.22,87.8,58,40,10.29
89,At-Bashi,KG,2020-02-20 21:34:52,41.17,75.81,11.95,13,0,7.92
90,San Vicente,AR,2020-02-20 21:34:53,-26.62,-54.13,82.0,69,0,7.56
91,Alice Springs,AU,2020-02-20 21:34:53,-23.7,133.88,66.2,24,17,1.12
92,Calama,CL,2020-02-20 21:34:53,-22.47,-68.93,75.2,29,75,23.04
93,Provideniya,RU,2020-02-20 21:34:53,64.38,-173.3,-5.8,70,0,4.47
94,Waukesha,US,2020-02-20 21:31:36,43.03,-88.3,19.99,47,5,5.82
95,Segovia,ES,2020-02-20 21:34:54,41.17,-4.0,50.0,51,2,5.86
96,Baoning,CN,2020-02-20 21:34:54,25.34,110.03,55.4,93,40,2.24
97,Kirkenaer,NO,2020-02-20 21:34:54,60.46,12.06,41.0,93,90,20.8
98,Clyde River,CA,2020-02-20 21:34:54,70.47,-68.59,-14.8,83,40,13.87
99,Ganzhou,CN,2020-02-20 21:34:54,28.82,115.43,49.53,68,59,2.42
100,Tual,ID,2020-02-20 21:34:55,-5.67,132.75,82.04,79,99,16.49
101,Quezon,PH,2020-02-20 21:34:55,7.73,125.1,67.32,87,2,3.2
102,Tres Lagoas,BR,2020-02-20 21:34:55,-20.75,-51.68,86.9,73,100,1.07
103,Thompson,CA,2020-02-20 21:34:55,55.74,-97.86,28.4,54,75,14.99
104,Yerbogachen,RU,2020-02-20 21:34:56,61.28,108.01,9.37,95,100,5.75
105,Beringovskiy,RU,2020-02-20 21:34:56,63.05,179.32,-16.29,88,0,7.83
106,Georgetown,MY,2020-02-20 21:34:56,5.41,100.34,80.6,78,20,2.24
107,Kloulklubed,PW,2020-02-20 21:34:57,7.04,134.26,78.8,78,90,9.17
108,Iquique,CL,2020-02-20 21:34:57,-20.22,-70.14,77.0,57,22,16.11
109,Ilulissat,GL,2020-02-20 21:34:57,69.22,-51.1,-0.4,59,20,10.29
110,La Asuncion,VE,2020-02-20 21:34:57,11.03,-63.86,84.2,58,44,20.8
111,Khatanga,RU,2020-02-20 21:34:58,71.97,102.5,2.32,88,95,7.81
112,Maneadero,MX,2020-02-20 21:34:58,31.72,-116.57,66.0,81,91,1.99
113,Chatellerault,FR,2020-02-20 21:34:58,46.8,0.53,45.0,93,75,6.93
114,Kaitangata,NZ,2020-02-20 21:34:58,-46.28,169.85,64.99,89,100,1.01
115,Zatoka,UA,2020-02-20 21:34:58,46.07,30.47,41.0,93,90,8.95
116,Lishan,CN,2020-02-20 21:34:59,31.86,113.3,47.97,65,72,5.57
117,Iranduba,BR,2020-02-20 21:34:59,-3.28,-60.19,84.2,74,75,5.82
118,Price,US,2020-02-20 21:32:00,39.6,-110.81,37.99,16,1,3.36
119,Hamilton,US,2020-02-20 21:34:59,39.18,-84.53,33.8,47,1,12.75
120,Severo-Kurilsk,RU,2020-02-20 21:35:00,50.68,156.12,16.77,91,99,17.2
121,Teya,RU,2020-02-20 21:35:00,60.38,92.63,12.97,95,16,4.9
122,Tiksi,RU,2020-02-20 21:35:00,71.69,128.87,-1.3,86,100,11.61
123,Hojai,IN,2020-02-20 21:35:00,26.0,92.87,62.33,85,64,2.93
124,Pueblo,US,2020-02-20 21:31:26,38.25,-104.61,32.0,68,1,3.36
125,Aklavik,CA,2020-02-20 21:35:01,68.22,-135.01,3.2,77,40,2.24
126,Maputo,MZ,2020-02-20 21:30:16,-25.97,32.59,80.6,88,75,4.7
127,Tirau,NZ,2020-02-20 21:35:01,-37.98,175.75,78.01,57,68,1.99
128,Arman,RU,2020-02-20 21:35:01,59.7,150.17,-7.04,86,0,5.28
129,Leningradskiy,RU,2020-02-20 21:35:02,69.38,178.42,-6.9,92,100,21.59
130,Vila,PT,2020-02-20 21:35:02,42.03,-8.16,54.0,81,6,6.93
131,Barrow,US,2020-02-20 21:35:02,71.29,-156.79,-5.8,76,90,9.17
132,Moose Factory,CA,2020-02-20 21:35:02,51.26,-80.61,14.0,43,75,17.22
133,Pingliang,CN,2020-02-20 21:35:03,35.54,106.69,23.29,38,0,1.3
134,La Baule-Escoublac,FR,2020-02-20 21:35:03,47.29,-2.36,46.4,75,20,4.7
135,Sungaipenuh,ID,2020-02-20 21:35:03,-2.08,101.38,60.89,98,100,3.33
136,Chapadinha,BR,2020-02-20 21:35:03,-3.74,-43.36,75.22,97,100,0.18
137,Balkhash,KZ,2020-02-20 21:35:03,46.84,74.98,18.52,80,100,14.5
138,Ulaangom,MN,2020-02-20 21:35:04,49.98,92.07,-8.81,97,97,1.66
139,Kununurra,AU,2020-02-20 21:35:04,-15.77,128.73,78.8,83,100,5.82
140,Poso,ID,2020-02-20 21:35:05,-1.4,120.75,67.21,85,100,2.19
141,Nicolae Balcescu,RO,2020-02-20 21:35:06,46.47,26.92,34.0,86,75,5.82
142,Carnarvon,AU,2020-02-20 21:35:06,-24.87,113.63,78.8,74,100,11.41
143,East London,ZA,2020-02-20 21:32:44,-33.02,27.91,75.92,78,70,14.72
144,Tianpeng,CN,2020-02-20 21:35:06,30.99,103.94,51.01,93,100,3.06
145,Ponta Do Sol,PT,2020-02-20 21:35:07,32.67,-17.1,57.2,71,40,13.87
146,Yaan,NG,2020-02-20 21:35:08,7.38,8.57,84.96,14,4,4.21
